Device,IP_Address,Site,Device_Type,SSH_Port_22,Status
102-tr-core-1,10.157.2.2,102,cisco_ios,OPEN,Reachable
102-tr-fw-1,10.157.2.12,102,paloalto_panos,OPEN,Reachable
102-tr-fw-2,10.157.2.13,102,paloalto_panos,OPEN,Reachable
102-tr-sp-1,10.4.103.235,102,silverpeak_os,OPEN,Reachable
102-tr-sp-2,10.4.103.236,102,silverpeak_os,OPEN,Reachable
103-idf-asw-1s,10.148.2.3,103,cisco_ios,OPEN,Reachable
103-tr-core-1,10.148.2.2,103,cisco_ios,OPEN,Reachable
103-tr-fw-1,10.148.2.12,103,paloalto_panos,OPEN,Reachable
103-tr-fw-2,10.148.2.13,103,paloalto_panos,OPEN,Reachable
103-tr-sp-1,10.0.15.235,103,silverpeak_os,OPEN,Reachable
103-tr-sp-2,10.0.15.236,103,silverpeak_os,OPEN,Reachable
105-idf-asw-1s,10.0.16.2,105,hp_procurve,OPEN,Reachable
105-starbucks-asw-1,10.0.16.60,105,hp_procurve,OPEN,Reachable
105-tr-core-1,10.74.2.2,105,hp_procurve,OPEN,Reachable
105-tr-fw-1,10.74.2.12,105,paloalto_panos,OPEN,Reachable
105-tr-fw-2,10.74.2.13,105,paloalto_panos,OPEN,Reachable
105-tr-sp-1,10.0.23.235,105,silverpeak_os,OPEN,Reachable
105-tr-sp-2,10.0.23.236,105,silverpeak_os,OPEN,Reachable
106-idf-asw-1,10.0.24.6,106,hp_procurve,OPEN,Reachable
106-tr-asw-1,10.0.24.5,106,hp_procurve,OPEN,Reachable
106-tr-core-1,10.0.24.4,106,hp_procurve,OPEN,Reachable
106-tr-fw-1.,10.0.31.234,106,paloalto_panos,OPEN,Reachable
106-tr-fw-2.,10.0.31.238,106,paloalto_panos,OPEN,Reachable
106-tr-sp-1,10.0.31.235,106,silverpeak_os,OPEN,Reachable
106-tr-sp-2,10.0.31.236,106,silverpeak_os,OPEN,Reachable
108-idf-asw-3,10.0.32.6,108,cisco_ios,OPEN,Reachable
